epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.10701,1.70239,3.62182,1.85172,0.01117,0.55833,0.00872,0.00208,1.76088,3.52625,1.92569,8e-05,8e-05,8e-05
2,3.58553,1.60258,3.53444,1.78707,0.02,1,0.04389,0.02729,0.93631,3.14057,1.1157,0.000179109,0.000179109,0.000179109
3,4.14254,1.04996,1.98458,1.00995,0.06326,1,0.995,0.60689,1.12798,2.2676,0.93674,0.000277228,0.000277228,0.000277228
4,4.64191,0.91007,0.9039,0.99123,0.99905,1,0.995,0.65773,1.08739,1.26571,0.87956,0.000374357,0.000374357,0.000374357
5,5.15002,0.88126,0.77211,0.94941,0.99904,1,0.995,0.67891,1.05829,1.49639,0.88055,0.000470496,0.000470496,0.000470496
6,5.65148,0.92606,0.72001,0.95149,0.99861,1,0.995,0.64725,1.00309,1.27896,0.90091,0.000565645,0.000565645,0.000565645
7,6.20203,0.84934,0.65786,0.96102,0.99827,1,0.995,0.65686,1.0371,1.43589,0.91976,0.000659804,0.000659804,0.000659804
8,6.69424,0.91582,0.64903,0.96634,0.99777,1,0.995,0.63237,0.88099,1.48104,0.86756,0.000752973,0.000752973,0.000752973
9,7.19168,0.85174,0.63625,0.95288,0.99807,1,0.995,0.76771,0.81907,1.35366,0.89537,0.000845152,0.000845152,0.000845152
10,7.69065,0.82004,0.60329,0.97287,0.99837,1,0.995,0.79001,0.79852,1.38675,0.90175,0.000936341,0.000936341,0.000936341
11,8.17643,0.78557,0.5615,0.94613,0.99879,1,0.995,0.77991,0.7873,1.21923,0.90381,0.00102654,0.00102654,0.00102654
12,8.66022,0.79395,0.52836,0.94629,0.99852,1,0.995,0.77548,0.78941,1.10903,0.90235,0.00111575,0.00111575,0.00111575
13,9.12638,0.77564,0.51614,0.92889,0.9992,1,0.995,0.766,0.84103,0.85794,0.93526,0.00120397,0.00120397,0.00120397
14,9.59966,0.79492,0.51653,0.94489,0.99918,1,0.995,0.78193,0.83167,0.83894,0.91478,0.0012912,0.0012912,0.0012912
15,10.0577,0.78446,0.51281,0.93991,0.99926,1,0.995,0.77602,0.79401,0.76596,0.90352,0.00137744,0.00137744,0.00137744
16,10.5275,0.83104,0.5217,0.95599,0.99892,1,0.995,0.73563,0.97972,0.91923,0.95146,0.00146269,0.00146269,0.00146269
17,10.9919,0.8136,0.5029,0.95527,0.99827,1,0.995,0.71676,1.09763,1.00659,1.01186,0.00154694,0.00154694,0.00154694
18,11.4592,0.77954,0.48046,0.94419,0.99076,0.89371,0.99404,0.53363,1.71896,1.15518,1.41558,0.00163021,0.00163021,0.00163021
19,11.9216,0.81082,0.47533,0.94756,0.99844,1,0.995,0.78261,0.89643,0.67567,0.92563,0.00171249,0.00171249,0.00171249
20,12.4053,0.77899,0.46954,0.94007,0.99958,1,0.995,0.76751,0.85113,0.51395,0.91734,0.00179378,0.00179378,0.00179378
21,12.8656,0.80374,0.48302,0.94782,0.99945,1,0.995,0.76998,0.83028,0.58284,0.89561,0.001802,0.001802,0.001802
22,13.3409,0.79677,0.46525,0.94637,0.97465,0.9612,0.99159,0.56204,1.50215,0.70374,1.27775,0.0017921,0.0017921,0.0017921
23,13.8118,0.81599,0.47293,0.95259,0.93369,0.93873,0.98851,0.6773,1.17107,0.6721,1.07293,0.0017822,0.0017822,0.0017822
24,14.2767,0.84422,0.48418,0.97064,0.97213,0.85417,0.9697,0.51117,1.77053,0.82208,1.31294,0.0017723,0.0017723,0.0017723
25,14.737,0.79517,0.46365,0.95084,0.99166,0.99045,0.99487,0.74646,0.93434,0.478,0.942,0.0017624,0.0017624,0.0017624
26,15.2163,0.81648,0.4564,0.96038,0.98599,1,0.99471,0.69994,1.14264,0.57152,0.99747,0.0017525,0.0017525,0.0017525
27,15.6816,0.78056,0.44107,0.9432,0.90853,1,0.93282,0.67649,1.01743,0.55952,0.95985,0.0017426,0.0017426,0.0017426
28,16.1503,0.78719,0.44268,0.9444,0.7604,0.83307,0.80874,0.35919,1.98989,1.21228,1.52356,0.0017327,0.0017327,0.0017327
29,16.6223,0.79278,0.43704,0.94739,1,0.92209,0.99048,0.68537,1.17854,0.61861,1.03659,0.0017228,0.0017228,0.0017228
30,17.0967,0.77989,0.41631,0.92512,0.99953,1,0.995,0.78453,0.78826,0.42951,0.88711,0.0017129,0.0017129,0.0017129
31,17.5593,0.77731,0.42239,0.95337,0.99795,1,0.995,0.77612,0.82749,0.44556,0.90306,0.001703,0.001703,0.001703
32,18.029,0.77088,0.40791,0.93218,0.99934,1,0.995,0.78054,0.78427,0.36022,0.89242,0.0016931,0.0016931,0.0016931
33,18.4956,0.76489,0.40866,0.93753,0.99622,1,0.995,0.79355,0.76867,0.35107,0.88171,0.0016832,0.0016832,0.0016832
34,18.9714,0.74562,0.39931,0.92991,0.98247,0.99167,0.99454,0.66845,1.23915,0.5424,1.06963,0.0016733,0.0016733,0.0016733
35,19.4293,0.7471,0.40085,0.93506,0.98623,0.89547,0.97467,0.65296,1.17632,0.71847,1.088,0.0016634,0.0016634,0.0016634
36,19.8967,0.75761,0.40538,0.93315,0.99972,1,0.995,0.78568,0.76521,0.36006,0.88297,0.0016535,0.0016535,0.0016535
37,20.354,0.76974,0.39199,0.94386,0.99965,1,0.995,0.77913,0.79582,0.35125,0.88105,0.0016436,0.0016436,0.0016436
38,20.8229,0.75726,0.39364,0.93942,0.99963,1,0.995,0.80426,0.74178,0.33555,0.87631,0.0016337,0.0016337,0.0016337
39,21.3004,0.75499,0.38775,0.92396,0.99971,1,0.995,0.80128,0.76771,0.34896,0.87279,0.0016238,0.0016238,0.0016238
40,21.7733,0.75899,0.39276,0.92796,0.99953,1,0.995,0.7763,0.8273,0.3651,0.90848,0.0016139,0.0016139,0.0016139
41,22.2287,0.73098,0.38473,0.92268,0.9997,1,0.995,0.75607,0.94405,0.38614,0.94623,0.001604,0.001604,0.001604
42,22.7023,0.7487,0.38619,0.91944,0.99966,1,0.995,0.76847,0.86131,0.36191,0.90052,0.0015941,0.0015941,0.0015941
43,23.1667,0.76328,0.39237,0.93935,0.9994,1,0.995,0.7046,1.11451,0.44999,0.99929,0.0015842,0.0015842,0.0015842
44,23.6323,0.74701,0.37096,0.92344,0.99954,1,0.995,0.64294,1.21338,0.45694,1.04984,0.0015743,0.0015743,0.0015743
45,24.0953,0.74434,0.38351,0.92727,0.99941,1,0.995,0.5062,1.73021,0.59525,1.30295,0.0015644,0.0015644,0.0015644
46,24.5655,0.76834,0.38483,0.94192,0.98731,0.97235,0.99175,0.65855,1.13699,0.60421,1.00751,0.0015545,0.0015545,0.0015545
47,25.0307,0.73949,0.36826,0.92643,0.99668,0.99583,0.995,0.74508,0.94369,0.41414,0.93273,0.0015446,0.0015446,0.0015446
48,25.4944,0.74565,0.3744,0.92688,0.99973,1,0.995,0.79375,0.79412,0.32,0.889,0.0015347,0.0015347,0.0015347
49,25.9499,0.72933,0.37849,0.92001,0.99975,1,0.995,0.77323,0.80844,0.3616,0.91115,0.0015248,0.0015248,0.0015248
50,26.4188,0.7641,0.38242,0.93626,0.9994,1,0.995,0.55871,1.48064,0.4819,1.21997,0.0015149,0.0015149,0.0015149
51,26.8738,0.7198,0.3688,0.91872,0.99973,1,0.995,0.77576,0.79481,0.33794,0.89079,0.001505,0.001505,0.001505
52,27.3451,0.74275,0.37345,0.91911,0.99974,1,0.995,0.7792,0.79213,0.33707,0.88834,0.0014951,0.0014951,0.0014951
